Data Medicao;PRECIPITACAO TOTAL, DIARIO (mm);TEMPERATURA MAXIMA, DIARIA (C);TEMPERATURA MEDIA, DIARIA (C);TEMPERATURA MINIMA, DIARIA (C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (%);
2001-04-15;0;24;21,754167;19,5;82,541667;72;
2001-04-16;0;25,7;21,170833;18,4;74;50;
2001-04-17;0;27,8;21,916667;18,1;73,791667;49;
2001-04-18;0;29,7;22,445833;16,2;73,833333;45;
2001-04-19;0;29,6;23,516667;18,3;72,125;47;
2001-04-20;6,2;25,5;18,954167;14,9;73,791667;46;
2001-04-21;2,8;23;16,8;12,7;80,583333;50;
2001-04-22;0;25;18,233333;11,7;74,458333;52;
2001-04-23;0;30,9;23,645833;17,9;73,708333;49;
2001-04-24;79,6;19,6;18,3875;16,3;86,708333;74;
2001-04-25;,2;20,7;18,820833;16,7;89,208333;80;
2001-04-26;26;20,8;19,770833;18,8;94,125;90;
2001-04-27;44,6;26;20,891667;18,8;92,25;74;
2001-04-28;10;24,9;21,154167;19,8;88,833333;72;
2001-04-29;18,8;19,3;18,404167;17,9;91,666667;86;
2001-04-30;2,4;26,8;20,954167;17,7;82,583333;61;
2001-05-01;0;27,7;22,795833;19,4;82,291667;57;
2001-05-02;,2;23,5;19,882609;18,4;75,913043;53;
2001-05-03;null;null;null;null;null;null;
2001-05-04;null;null;null;null;null;49;
2001-05-05;null;null;null;10,8;null;69;
2001-05-06;null;null;null;null;null;62;
2001-05-07;0;20,3;16,016667;12;83,791667;68;
2001-05-08;null;null;null;null;70,833333;45;
2001-05-09;2,4;19,5;17,391667;16,5;81,125;61;
2001-05-10;null;null;null;14,6;null;72;
2001-05-11;null;null;null;null;null;null;
2001-05-12;null;null;null;null;null;null;
2001-05-13;null;null;null;null;null;null;
2001-05-14;null;null;null;null;null;69;
2001-05-15;null;20,3;14,945833;10,8;79,5;52;
2001-05-16;0;17;15,879167;12,8;82,5;70;
2001-05-17;5,8;16;14,725;13,5;89;81;
2001-05-18;4;16,5;14,166667;12,6;91;83;
2001-05-19;3,8;21,8;14,529167;10,6;89,125;58;
2001-05-20;,2;21,9;16,879167;12,2;84,583333;58;
2001-05-21;0;19,1;16,1375;13,5;87,875;68;
2001-05-22;18,8;22,6;18,254167;15,1;86,166667;71;
2001-05-23;null;null;null;16,5;null;85;
2001-05-24;null;null;null;null;null;null;
2001-05-25;null;null;null;null;null;null;
2001-05-26;null;null;null;null;null;null;
2001-05-27;null;null;null;null;null;null;
2001-05-28;null;null;null;null;null;null;
2001-05-29;null;null;null;null;null;null;
2001-05-30;null;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;
2001-06-01;null;null;null;null;null;null;
2001-06-02;null;null;null;null;null;null;
2001-06-03;null;null;null;null;null;null;
2001-06-04;null;null;null;null;null;null;
2001-06-05;null;null;22,525;null;73,5;null;
2001-06-06;24,4;null;18,6625;null;87,583333;null;
2001-06-07;,2;null;17,704348;null;85,565217;null;
2001-06-08;,2;null;18,840909;null;82,863636;53;
2001-06-09;0;26,5;19,583333;15,2;82,166667;52;
2001-06-10;0;19,6;18,220833;16,9;90,833333;84;
2001-06-11;0;24,2;19,508333;17,1;82,75;62;
2001-06-12;,2;26,2;20,095833;15;76,625;50;
2001-06-13;0;26,8;19,818182;15;78,5;51;
2001-06-14;,2;27,4;20,341667;15,8;75,041667;46;
2001-06-15;0;28,1;21,616667;15,8;62,208333;40;
2001-06-16;32;24,4;15,454167;14,7;88,791667;57;
2001-06-17;9,6;12,7;11,154167;9,3;74,041667;57;
2001-06-18;,6;16;12,116667;9,5;80,75;62;
2001-06-19;,6;15,9;12,804167;10,3;88,708333;75;
2001-06-20;13,4;13,5;11,479167;10,3;88,125;73;
2001-06-21;6,8;11,8;9,45;8,1;66,166667;47;
2001-06-22;0;14;7,483333;2,9;77,416667;46;
2001-06-23;0;15,7;8,5375;3,9;78,791667;44;
2001-06-24;0;17;11,629167;6,6;78,875;57;
2001-06-25;9,8;16,4;14,879167;11,5;93,041667;82;
2001-06-26;7;16,3;13,491667;12,1;77,916667;53;
2001-06-27;null;null;null;10,3;null;84;
2001-06-28;null;null;null;null;null;null;
2001-06-29;null;null;null;null;null;null;
2001-06-30;null;21,3;14,583333;null;78,375;52;
2001-07-01;0;23,4;15,870833;9,6;77,541667;49;
2001-07-02;3,6;18,9;15,9625;13;86,875;74;
2001-07-03;0;22,7;17,133333;13,9;84,416667;61;
2001-07-04;0;26;19,754167;14,8;80,291667;51;
2001-07-05;25,4;19,2;12,458333;11,3;81,208333;61;
2001-07-06;0;19,9;null;9,9;79,809524;63;
2001-07-07;null;null;null;null;null;null;
2001-07-08;null;null;null;null;null;null;
2001-07-09;null;null;null;null;null;70;
2001-07-10;null;22,7;19,883333;null;83,458333;68;
2001-07-11;31,6;22,9;15,2125;16;85,875;60;
2001-07-12;6,6;13,2;9,220833;5,8;77,125;50;
2001-07-13;0;15,2;9,570833;4,8;79,458333;54;
2001-07-14;0;19,4;12,316667;5,4;72,125;45;
2001-07-15;null;null;null;9,3;null;67;
2001-07-16;null;null;null;null;null;null;
2001-07-17;null;null;null;null;null;55;
2001-07-18;53,2;18,7;null;16,9;92,888889;81;
2001-07-19;null;null;null;null;null;71;
2001-07-20;null;null;null;null;null;81;
2001-07-21;null;null;null;null;70,166667;56;
2001-07-22;0;13;null;9,4;71,52381;55;
2001-07-23;null;null;null;null;null;86;
2001-07-24;null;16,2;null;null;88,625;66;
2001-07-25;null;20,9;16,191667;12,4;83,375;69;
2001-07-26;2,4;16,8;14,483333;14,6;84,25;72;
2001-07-27;null;12,5;null;9,3;65,277778;44;
2001-07-28;,2;12,6;7,641667;4,3;72,583333;49;
2001-07-29;0;18,9;10,133333;2,6;74,5;42;
2001-07-30;0;22,6;15,533333;9,1;65,166667;37;
2001-07-31;0;30,4;20,4;12,9;63,291667;33;
2001-08-01;0;30,7;23,0125;17;65,75;42;
2001-08-02;0;30,9;22,583333;16,5;70,5;33;
2001-08-03;0;30,7;21,629167;14,8;67,708333;28;
2001-08-04;0;28,2;20,329167;14,3;69,208333;38;
2001-08-05;0;24,4;18,133333;15,6;80,625;57;
2001-08-06;0;29,8;20,1125;13,1;67,75;27;
2001-08-07;3,8;20,9;16,570833;14,6;83,083333;60;
2001-08-08;,8;20,5;14,491304;10,2;84,695652;65;
2001-08-09;0;19,7;15,925;12,5;88,125;77;
2001-08-10;,2;21,4;17,8125;15,7;84,041667;66;
2001-08-11;0;23,1;18,170833;15,4;81;53;
2001-08-12;0;26,1;19,191667;14;72,75;43;
2001-08-13;0;29,3;20,829167;14,2;62,833333;29;
2001-08-14;0;29,5;22,2125;16,2;58,291667;30;
2001-08-15;0;29,9;22,354167;16,2;58,5;26;
2001-08-16;0;29,5;22,220833;16;59,708333;33;
2001-08-17;0;27;21,179167;15,2;66,958333;43;
2001-08-18;0;30,8;23,6125;18,6;63,375;30;
2001-08-19;0;22,9;16,066667;15,5;82,75;67;
2001-08-20;12,8;19,1;14,75;12,2;81;54;
2001-08-21;0;18,5;13,8125;9,2;73,833333;51;
2001-08-22;0;19,6;14,416667;9,4;77,125;45;
2001-08-23;,6;17,8;14,5875;12,6;84,666667;71;
2001-08-24;0;22,8;16,829167;12,2;73,833333;46;
2001-08-25;0;26,4;18,204167;11,8;73,708333;38;
2001-08-26;0;29,2;21,3375;15,1;73,125;36;
2001-08-27;0;24,4;19,9125;18,3;78,166667;54;
2001-08-28;2,8;17,4;15,520833;13;74,25;62;
2001-08-29;0;19,4;17,4375;15,7;79,916667;71;
2001-08-30;,2;27,2;19,633333;14,7;78,666667;46;
2001-08-31;0;20,5;18,365217;15,7;86,478261;76;
2001-09-01;2,2;27,2;21,358333;16,7;78,875;53;
2001-09-02;0;25,1;21,441667;19,1;81,875;69;
2001-09-03;0;26,1;21,670833;18,9;82,083333;66;
2001-09-04;25,2;21,6;17,825;16,8;92,083333;86;
2001-09-05;18,4;18,9;16,5875;15,4;77,416667;55;
2001-09-06;0;20,5;17,316667;15,1;74,166667;61;
2001-09-07;0;21,9;null;15,4;71,352941;61;
2001-09-08;null;null;null;null;null;null;
2001-09-09;null;null;null;null;null;null;
2001-09-10;null;null;null;null;null;59;
2001-09-11;null;20,3;13,7;10;73,25;36;
2001-09-12;0;18,9;13,070833;8,1;71,375;35;
2001-09-13;2,6;15,4;14,0875;12,7;86,916667;68;
2001-09-14;20;22,7;17,475;13,4;80,416667;50;
2001-09-15;,4;18,4;14,170833;11,8;67,041667;40;
2001-09-16;,2;15,6;10,770833;7,2;64,208333;35;
2001-09-17;0;18,1;12,529167;8,9;76,416667;55;
2001-09-18;0;23,5;16,258333;9,7;65,708333;33;
2001-09-19;0;24,4;17,754167;10,5;65,791667;39;
2001-09-20;0;28,8;20,404167;13,4;67,625;34;
2001-09-21;0;27,9;20,4125;15,1;74,791667;41;
2001-09-22;0;25,9;20,545833;18,1;73,25;52;
2001-09-23;0;27,2;21,704167;18,3;70;48;
